"","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj1_Time2",8,55,40,4,43,37,8,67,50,27,24,44,16,3,48,10,14,12,12,13,38,43,21,33,2,21,21,50,31,49,10,11,14,17,62,32,13,22,6,7,0,25,28,13,15,17,9,44,21,14
"Sbj10_Time2",11,20,16,11,7,29,1,5,24,18,37,12,21,14,2,12,12,32,13,30,104,6,28,24,15,37,28,10,12,5,25,78,23,8,25,35,43,26,32,31,70,61,33,40,21,5,8,13,14,22
"Sbj11_Time2",34,1,9,38,19,31,3,34,24,25,25,6,18,4,24,13,30,25,16,40,9,36,24,9,2,12,32,49,49,43,17,9,24,23,2,20,11,22,38,4,29,40,17,14,2,45,29,55,9,31
"Sbj12_Time2",19,8,30,31,18,9,109,5,5,13,25,24,28,28,27,40,3,50,9,49,62,0,43,11,4,6,22,0,43,1,21,25,35,14,11,19,3,7,3,75,18,6,25,25,26,22,20,1,4,13
"Sbj13_Time2",24,19,1,9,24,16,14,22,22,10,4,8,13,17,4,7,14,40,11,36,15,6,27,26,59,41,21,9,16,15,66,36,8,14,17,39,17,20,10,30,3,3,13,19,38,53,4,13,54,20
"Sbj14_Time2",52,50,18,27,8,33,4,19,6,33,20,23,14,21,8,31,24,13,11,48,26,3,33,10,28,0,5,8,26,17,16,10,13,37,13,33,51,9,19,39,13,29,6,11,9,15,41,5,17,8
"Sbj15_Time2",35,33,7,32,16,78,40,27,31,30,18,41,26,39,24,15,10,13,13,39,16,69,20,17,34,36,25,55,7,36,15,76,22,24,2,35,9,19,5,8,23,11,25,35,3,22,23,34,2,11
"Sbj16_Time2",98,34,55,7,5,13,5,5,66,10,39,24,30,32,62,10,37,33,3,6,1,11,21,15,10,15,19,18,16,24,9,39,31,11,19,32,14,41,18,31,28,39,17,22,11,34,14,11,90,34
"Sbj17_Time2",36,32,28,29,17,17,17,0,47,23,7,8,26,22,16,33,19,12,15,54,8,38,21,47,17,24,27,48,0,40,43,2,53,23,22,30,25,9,32,6,1,32,45,14,47,15,14,29,4,37
"Sbj18_Time2",13,29,42,29,4,6,56,10,34,25,20,10,30,16,4,21,13,5,28,9,37,33,46,46,25,35,21,30,18,23,17,11,4,14,27,10,24,8,10,3,34,2,15,12,7,11,8,22,83,20
"Sbj19_Time2",2,8,82,48,15,19,19,3,29,3,35,17,18,6,13,15,26,21,40,17,2,21,16,52,19,12,16,22,30,24,19,16,4,34,29,18,71,2,11,22,7,45,14,25,23,39,39,27,6,20
"Sbj2_Time2",18,60,11,50,34,4,2,49,6,8,75,40,28,23,35,21,5,9,25,23,4,5,9,15,41,31,7,17,17,18,43,2,34,2,9,25,33,101,13,22,30,61,17,37,23,18,7,12,13,17
"Sbj20_Time2",6,5,73,27,9,32,16,7,56,26,7,29,13,17,50,66,15,56,23,10,18,41,62,15,54,23,38,57,8,58,39,7,13,32,44,13,27,21,11,7,31,21,9,17,45,16,1,27,28,11
"Sbj21_Time2",7,58,4,58,29,34,35,4,39,12,3,12,11,5,7,22,34,25,11,29,41,28,8,20,6,42,10,32,20,48,14,41,33,14,17,18,21,114,11,11,62,6,19,6,33,24,19,15,30,16
"Sbj22_Time2",15,6,23,19,22,13,25,7,33,16,32,52,21,48,5,32,17,42,6,38,8,51,9,29,38,15,16,72,24,49,9,16,50,20,67,10,27,13,16,3,25,22,58,14,10,20,11,67,70,16
"Sbj23_Time2",48,6,62,11,21,51,39,21,21,20,30,14,33,23,8,69,105,12,11,49,30,10,11,20,13,48,10,15,17,11,12,25,6,5,51,11,17,29,23,25,15,7,22,44,18,30,11,15,5,19
"Sbj24_Time2",1,28,45,30,11,61,16,7,20,6,18,21,28,28,22,33,5,11,15,13,44,16,4,1,30,27,15,19,49,38,37,41,26,5,16,16,6,1,43,20,15,9,41,25,52,6,7,23,80,15
"Sbj25_Time2",3,16,12,21,36,17,3,2,18,41,44,29,15,17,3,22,55,19,33,11,6,5,21,15,27,9,39,10,46,5,16,3,38,3,1,23,19,20,17,53,7,17,71,22,19,5,11,8,42,17
"Sbj26_Time2",35,24,17,31,28,19,22,90,8,3,34,23,17,37,15,13,65,9,11,36,25,5,77,16,27,75,32,9,9,12,4,5,10,75,13,19,18,20,23,55,17,26,32,4,3,29,57,12,4,34
"Sbj27_Time2",3,43,4,33,39,21,23,26,21,36,30,12,30,36,20,36,20,42,21,14,5,15,33,20,6,9,49,17,5,31,31,37,2,24,53,13,7,41,29,19,3,58,19,25,5,16,42,18,42,20
"Sbj28_Time2",7,35,25,12,34,38,27,31,4,18,0,43,22,20,17,51,16,29,8,7,10,6,37,17,24,52,23,11,61,9,36,15,38,30,12,35,56,20,18,27,17,2,17,8,7,18,53,13,1,24
"Sbj29_Time2",20,6,28,42,47,66,35,73,10,31,14,13,20,14,25,6,12,43,15,17,20,5,4,34,73,23,35,11,16,2,12,3,17,4,34,32,46,44,53,44,1,30,16,11,8,12,20,5,37,16
"Sbj3_Time2",0,34,20,22,22,21,28,24,29,41,62,0,26,47,24,14,23,14,18,9,27,16,22,19,14,32,19,17,29,45,16,4,51,34,22,29,31,11,19,29,32,14,16,30,15,50,13,20,22,21
"Sbj30_Time2",6,19,50,23,22,18,58,41,29,21,1,20,0,48,4,30,15,3,12,19,13,17,13,13,12,7,25,30,53,11,39,27,13,5,13,16,19,22,34,16,11,44,33,18,24,38,3,18,29,27
"Sbj31_Time2",18,35,27,39,9,36,9,6,2,17,48,3,18,12,41,18,16,20,1,14,1,4,44,44,20,15,3,3,10,2,30,43,13,14,14,8,9,6,25,52,60,49,34,16,28,12,7,9,10,14
"Sbj32_Time2",21,41,15,7,10,17,67,4,3,50,39,17,21,18,12,21,16,35,15,42,9,2,9,26,34,23,46,5,56,21,26,18,5,32,1,21,24,102,23,51,12,22,20,14,32,12,14,11,2,27
"Sbj33_Time2",7,24,4,4,32,15,34,6,3,20,12,13,18,11,49,45,20,2,12,19,25,3,22,15,44,27,45,2,8,9,8,49,52,13,2,4,34,19,18,46,1,30,9,13,11,24,15,8,30,12
"Sbj34_Time2",36,13,12,3,8,32,49,5,22,13,12,5,0,21,20,37,16,13,21,10,15,37,14,17,31,7,12,36,6,30,14,9,14,5,42,28,13,33,8,6,59,9,15,43,23,10,41,31,6,34
"Sbj35_Time2",55,25,13,23,10,45,7,0,14,23,84,36,23,29,18,7,11,7,16,14,27,20,30,6,9,40,22,10,72,8,64,15,26,37,56,15,12,36,23,28,15,36,13,9,34,51,14,16,16,26
"Sbj36_Time2",21,8,15,25,18,15,27,12,33,31,0,18,23,18,100,9,18,12,19,25,61,18,49,12,65,6,7,16,19,17,29,18,17,22,18,11,55,48,4,38,35,2,45,17,26,29,23,35,28,31
"Sbj37_Time2",8,61,16,13,15,3,70,18,87,15,20,22,21,15,10,36,19,23,34,31,4,23,24,5,24,32,6,49,38,18,20,14,49,13,56,33,16,18,56,20,39,38,13,10,11,7,18,38,3,6
"Sbj38_Time2",16,75,27,17,8,8,12,0,13,17,6,13,12,26,123,9,15,60,20,29,33,28,16,16,16,57,23,19,14,14,19,5,8,5,7,12,38,10,20,9,15,8,21,38,21,19,14,26,15,5
"Sbj39_Time2",45,47,15,26,22,26,34,14,71,10,14,32,15,18,35,13,39,28,11,26,47,33,35,28,40,9,10,40,80,68,15,33,29,20,31,3,23,3,41,6,14,10,19,41,7,17,16,20,3,44
"Sbj4_Time2",29,30,38,22,44,22,19,9,3,33,9,46,20,26,6,23,30,37,28,8,28,1,13,32,23,39,7,6,1,11,5,28,5,20,9,19,11,1,32,54,33,28,11,7,14,65,9,8,25,47
"Sbj40_Time2",55,31,52,16,39,10,15,81,38,38,20,11,18,23,43,30,25,32,13,21,30,19,3,18,23,87,21,18,48,14,42,28,36,24,20,3,12,0,3,18,14,38,21,11,15,14,44,18,27,23
"Sbj41_Time2",3,38,31,12,15,23,6,22,70,25,22,35,21,9,0,10,7,23,8,26,10,18,11,13,31,12,31,28,2,23,25,1,11,18,29,1,42,5,28,21,26,25,17,17,9,49,42,20,0,18
"Sbj42_Time2",54,37,12,8,28,15,22,52,4,7,33,12,27,27,10,34,17,40,20,11,75,25,9,49,12,1,22,18,10,27,44,30,25,7,7,12,14,20,28,34,20,11,28,6,17,24,11,20,17,11
"Sbj43_Time2",12,1,34,13,59,15,36,9,56,15,48,19,21,27,77,11,17,10,8,20,41,19,5,26,22,16,14,34,3,48,45,37,3,12,21,31,19,13,12,7,20,15,33,3,9,8,21,21,4,9
"Sbj44_Time2",13,11,66,3,25,24,1,5,9,12,1,9,26,35,4,1,8,13,24,42,3,14,29,28,35,28,11,10,49,32,24,6,15,21,25,12,10,12,32,28,50,58,22,23,15,10,21,9,15,6
"Sbj45_Time2",21,2,15,28,16,0,4,22,16,40,17,31,16,16,33,36,7,8,9,34,22,17,15,43,12,43,32,16,25,24,16,50,3,16,35,25,14,18,40,38,18,9,24,23,18,25,26,10,6,19
"Sbj46_Time2",128,52,102,25,59,12,22,27,37,39,44,15,20,15,4,7,10,13,7,20,14,40,34,8,17,10,56,47,16,37,28,49,32,20,40,15,28,4,39,4,14,14,15,16,50,17,16,41,26,9
"Sbj47_Time2",30,15,16,14,23,4,63,11,2,12,11,26,14,1,10,22,26,20,10,11,17,8,11,5,13,19,11,7,10,7,34,4,24,42,10,24,55,15,24,45,35,16,34,41,13,16,6,6,77,22
"Sbj48_Time2",13,14,11,24,32,3,8,10,27,16,27,11,30,36,2,9,34,38,4,14,27,73,16,7,23,27,10,56,37,45,14,27,5,3,7,18,19,24,18,5,2,37,3,15,27,4,8,45,12,28
"Sbj49_Time2",0,64,23,16,22,11,12,15,13,23,13,40,27,25,78,10,83,13,15,48,20,21,10,23,40,2,45,18,27,9,17,17,13,18,31,29,15,5,12,15,55,19,5,14,26,32,14,17,14,40
"Sbj5_Time2",5,21,19,19,26,10,7,23,30,13,15,21,21,41,9,16,21,20,14,12,54,15,25,38,24,8,9,17,6,4,17,49,17,116,6,20,2,82,35,13,9,10,13,17,13,38,46,21,10,17
"Sbj50_Time2",0,22,72,9,39,22,7,59,9,17,54,11,17,18,30,8,18,34,37,63,8,13,20,4,6,18,12,12,9,10,17,33,43,26,32,8,25,15,16,28,6,10,26,5,6,19,19,9,6,41
"Sbj6_Time2",52,9,2,36,20,22,5,32,11,22,5,21,22,32,24,3,25,15,21,8,7,2,3,13,9,13,34,2,14,6,14,16,25,11,24,8,21,14,10,45,12,13,24,18,27,3,3,8,6,10
"Sbj7_Time2",13,5,2,7,19,17,14,28,24,21,48,17,30,18,22,18,27,33,22,16,6,31,43,5,29,22,13,38,54,25,11,13,27,54,11,20,38,20,30,4,21,61,86,8,33,68,29,15,6,22
"Sbj8_Time2",8,10,2,7,21,55,27,16,28,15,67,51,23,22,28,21,7,17,21,30,4,17,27,57,3,31,9,15,8,13,41,4,3,11,2,10,34,15,36,23,46,32,4,22,56,7,8,18,70,15
"Sbj9_Time2",2,8,30,22,2,12,26,10,5,33,28,65,19,20,9,1,45,24,15,14,29,12,42,23,12,34,15,13,3,33,39,38,52,7,15,15,10,18,29,21,22,27,30,39,30,17,27,16,18,16
